1 1:0.227273 2:1.000000 3:0.673282
1 1:0.315789 2:1.000000 3:1.450820
1 1:0.040000 2:0.987031 3:1.280256
1 1:0.052632 2:1.000000 3:1.053413
0 1:0.000000 2:0.974357 3:1.224194
0 1:0.000000 2:1.000000 3:1.121586
0 1:0.157895 2:1.000000 3:0.902886
0 1:0.130435 2:1.000000 3:0.540804
0 1:0.000000 2:1.000000 3:1.253714
0 1:0.068966 2:1.000000 3:1.099873
0 1:0.000000 2:0.980651 3:0.774385
0 1:0.000000 2:1.000000 3:0.312044
1 1:0.187500 2:1.000000 3:1.018011
0 1:0.050000 2:1.000000 3:0.729635
1 1:0.121212 2:0.980651 3:0.706732
0 1:0.000000 2:0.980651 3:0.828819
1 1:0.545455 2:0.991644 3:1.212987
0 1:0.217391 2:1.000000 3:1.575683
1 1:1.000000 2:1.000000 3:1.970182
0 1:0.000000 2:1.000000 3:0.791751
1 1:0.076923 2:1.000000 3:1.053549
0 1:0.078947 2:0.967764 3:1.114023
1 1:0.176471 2:1.000000 3:0.712050
0 1:0.105263 2:1.000000 3:1.224633
1 1:0.470588 2:0.988148 3:1.063893
0 1:0.105263 2:1.000000 3:1.183138
0 1:0.190476 2:1.000000 3:1.082563
0 1:0.000000 2:1.000000 3:0.942707
0 1:0.083333 2:1.000000 3:0.522075
0 1:0.047619 2:1.000000 3:0.729476
1 1:0.043478 2:1.000000 3:0.319194
1 1:0.040000 2:1.000000 3:0.857097
1 1:0.307692 2:1.000000 3:0.758016
1 1:0.142857 2:1.000000 3:1.097218
0 1:0.050000 2:1.000000 3:0.644726
0 1:0.315789 2:1.000000 3:1.208910
0 1:0.000000 2:1.000000 3:0.770416
0 1:0.035714 2:1.000000 3:0.958798
1 1:0.035714 2:1.000000 3:0.903445
1 1:0.100000 2:1.000000 3:0.980947
0 1:0.150000 2:1.000000 3:0.863358
0 1:0.000000 2:1.000000 3:1.046518
1 1:0.000000 2:1.000000 3:0.900225
1 1:0.000000 2:1.000000 3:0.476233
0 1:0.000000 2:1.000000 3:0.606695
0 1:0.032258 2:1.000000 3:0.638300
1 1:0.318182 2:1.000000 3:1.232297
1 1:0.090909 2:1.000000 3:0.611391
0 1:0.000000 2:1.000000 3:0.601561
0 1:0.050000 2:1.000000 3:0.562442
0 1:0.000000 2:1.000000 3:0.631423
1 1:0.000000 2:1.000000 3:0.524003
0 1:0.105263 2:1.000000 3:0.656037
0 1:0.000000 2:1.000000 3:0.718559
0 1:0.000000 2:1.000000 3:0.873219
1 1:0.187500 2:0.977039 3:0.623330
1 1:0.173913 2:1.000000 3:0.761605
1 1:1.000000 2:1.000000 3:1.857077
1 1:0.166667 2:0.974357 3:0.943224
0 1:0.454545 2:0.974357 3:1.319274
0 1:0.000000 2:1.000000 3:0.606695
0 1:0.136364 2:1.000000 3:0.833505
0 1:0.000000 2:1.000000 3:0.888484
1 1:0.750000 2:1.000000 3:1.679210
1 1:0.235294 2:1.000000 3:1.163873
0 1:0.043478 2:1.000000 3:0.571006
0 1:0.045455 2:1.000000 3:0.778357
0 1:0.000000 2:1.000000 3:1.018406
0 1:0.000000 2:1.000000 3:0.739763
1 1:1.000000 2:1.000000 3:1.851693
1 1:0.115385 2:1.000000 3:0.912064
1 1:0.384615 2:1.000000 3:0.958309
0 1:0.400000 2:1.000000 3:1.334259
1 1:0.043478 2:1.000000 3:0.997686
1 1:0.000000 2:1.000000 3:1.237251
1 1:0.100000 2:1.000000 3:1.030856
1 1:0.105263 2:1.000000 3:0.466564
1 1:0.029412 2:1.000000 3:0.829046
1 1:0.050000 2:1.000000 3:0.808996
1 1:0.043478 2:1.000000 3:0.470116
1 1:0.074074 2:1.000000 3:0.567412
1 1:0.000000 2:1.000000 3:0.776898
1 1:0.150000 2:1.000000 3:0.851525
1 1:0.148148 2:1.000000 3:0.990079
